,date,content,n_repost,n_like,n_comment,id,city,influency
3325,2024-01-30,"《ITZY，继BLACKPINK·TWICE 接着2000万粉丝...K-POP女团第三个记录》#ITZY[超话]#
以本月27日为基准,ITZY的官方Instagram账号粉丝数超过了2000万。 这是K-POP女团史上第三次达成记录,可见ITZY的人气之高。

""K-POP大势女团""ITZY进一步飞跃将从今年2月开始在全世界27个地区举行29场的第二次世界巡演""ITZ ​​​",100,1730,37,EVA-GDA, 中国香港,1867
21887,2024-01-30,"#檀健次# 
檀健次：我爱你们，爱你们，我爱你，我非常得爱你们！好好爱我，好好爱自己！@MIC檀健次JC-T http://t.cn/A6jO8hEd ​​​",119,1463,270,多多柒_kiki, 中国香港,1852
3637,2024-01-30,天呢真的感觉到只是看着对方吃饭而已爱意也从眼睛里满出来了🥺 http://t.cn/A6jOXBql ​​​,109,1682,59,婉司姬, 中国香港,1850
114125,2024-01-01,@李宇春 大合唱前的准备[打call]#李宇春第19年跨年零点秀# #李宇春零点大合唱好感人# #李宇春[超话]# http://t.cn/A6lmYZUk ​​​,456,1295,83,小米小葱, 中国香港,1834
21907,2024-01-30,上海温拿告别派對的那天晚上你们最喜欢那个部份演出呢？🧐😀 ​​​,65,1471,295,譚詠麟AlanTam, 中国香港,1831
25427,2024-01-30,演唱会倒计时14天，越来越期待了，我们澳门见了！ ​​​,71,1528,207,张卫健, 中国香港,1806
21827,2024-01-30,"Q. 两者中最想拥有的能力是？
     智旻生活中的撒娇 vs RM的英语实力

🐱 这当然是RM的英语实力了
🐱 智旻生活中的撒娇到底对我有什么用呢？

哈哈哈哈哈哈哈哈哈哈哈哈哈哈
©️eong39
/ http://t.cn/A6jWMHg8 ​​​",151,1602,35,派对企划册, 中国香港,1788
13578,2024-01-30,"#taynew[超话]# 
💕妞igs更新/💙呆相关igs更新

你不是说你要做功德和父母去吃饭吗……带男朋友做功德然后见父母？
好可怕的给子，给我嗑疯了[抓狂]

cr. ig newwiee ​​​ http://t.cn/A6jOKF3p http://mapi/76d418cfgy1hmbixye3w1j20ku10xwl5",238,1381,144,长颈鹿oppa的阿昕, 中国香港,1763
23948,2024-01-30,惨笑了 ​​​,42,1554,87,婉司姬, 中国香港,1683
139033,2024-01-01,#单依纯[超话]# 🎆#单依纯想你时风起舞台# 出发，到新的爱与新的喧闹中去！ ​​​,83,1458,129,单依纯官方工作室, 中国香港,1670
3741,2024-01-30,2024年，一切都在慢慢变好中。今天距离春节还有10天，给大家安排点小福利，每天都要开开心心哈[打call][打call]一等奖：闪克无线麦克风WM620，二等奖：闪克麦克风pm461t，转+关参与抽奖。#记录旅行##杨旭游记##杨旭游记[超话]#  http://t.cn/A6jWd5HG ​​​,922,377,338,杨旭游记, 中国香港,1637
117337,2024-01-01,"分享一个宁远舟候场，   
奉上舞台绝美[泪][泪] 
刘宇宁好会唱！！！ 
@摩登兄弟刘宇宁 
#刘宇宁哭了# http://t.cn/A6lmYhPx ​​​",81,1447,45,熬了一整叶, 中国香港,1573
95100,2024-01-01,"231231 BKPP跨年
哎呀～～～～～ http://t.cn/A6lmlSy9 ​​​",470,1049,40,皮皮公主戀愛日記, 中国香港,1559
25204,2024-01-30,tg次 花的不多别骂我 缟纻玻璃心 我就是破防了 大中输换不来真心 只能换来28场演唱会20场都在日本 没一个一个骂是我最后的爱 也别跟我说公司决策他们是打工人 一个个都三十的人他们不想公司怎么可能硬逼着他们做 别捂嘴了 劳资出钱出力骂几句怎么了 我不稀罕你们空口无凭 只留在嘴上的爱与珍惜 ​​​,10,1481,65,脱粉回踩救钱包, 中国香港,1556
24752,2024-01-30,｜@王曼昱 ​​​,133,1373,49,TIEBREAKER1010, 中国香港,1555
45508,2024-01-01,"#张敬轩[超话]# 
大家好🥰
一月第一天，二〇二四年~
‘宁宁打小人’第一次对大家眨了眨眼
小站今天起正式上线啦😉

🫧开站礼物
一等奖 💰888
二等奖 💰666
三等奖 《张敬轩The Next 20蓝光唱片》

🥳领取条件
1.关注@張敬軒Official 
2.关注@宁宁打小人
3.带#张敬轩青春告别式# 话题🧱、 ​​​",465,599,480,宁宁打小人, 中国香港,1544
113810,2024-01-01,新年快乐🎆... ​,5,964,573,--涩郎, 中国香港,1542
99904,2024-01-01,"#朴智旻[超话]##智咪宝宝寄宿日记# op的儿子也在5师团[亲亲][亲亲]我们水煮蛋宝宝
OP：无论我如何引导他（我的儿子），他都不肯说（关于bts的事情），只说了智旻哥的皮肤好得惊人。 ​​​",215,1273,43,OhParkchim, 中国香港,1531
6093,2024-01-30,"#沈星回[超话]# 
有个占有欲超强却爱装的男朋友你真的吃不消[爱你]
沈星回总是一副呆呆任人欺负的模样，尤其是他洗完澡穿着浴袍躺在沙发上等你一起睡觉的时候。
吹风机的噪音都能当做空气，等你涂完身体乳走出浴室的时候，沈星回又睡着了。
《一百零八般家常菜》歪歪斜斜地落在沙发边缘摇摇欲坠，沈星 ​​​",32,1391,84,冥风上, 中国香港,1507
22022,2024-01-30,"昨天在南岛买了两杯果汁，认识了一个古铜色皮肤的女孩。我用三脚猫的英语和她聊天。虽然时常听不懂她在说什么，但在她阳光的笑容里还是能感受到语言阻挡不了的开朗和真诚。

离开南岛之前，又路过了她的店铺。我邀请她拍照，发现我们的手链居然是在同一家买的。她一边说着说蓝色是她的幸运色，一边毫不 ​​​",12,1425,69,空空日记, 中国香港,1506
