,date,content,n_repost,n_like,n_comment,id,city,influency
30218,2024-01-01,"#李宇春##李宇春压轴##李宇春第19年跨年零点秀##李宇春[超话]# 
给各位感受一下李宇春侧面高清露马甲线跨年现场版《作为怪物》，附赠迅速穿衣小技巧。[兔子] http://t.cn/A6lmnrb9 ​​​",489,1887,137,王王王多多, 中国澳门,2513
70348,2024-01-01,"#周深[超话]#[哇]#谁是2024跨年晚会最忙艺人#[求关注]#和周深点亮微博之夜# 
江苏跨年上周深宝贝躺着唱
我这边看的很完整，完全没有丢猫的感觉，但是因为看不到特效，很迷茫怎么躺了这么久哈哈哈哈哈哈！！！@卡布叻_周深 http://t.cn/A6luyoNY ​​​",230,2087,177,起司司司司, 中国澳门,2494
116916,2024-01-01,🤭🫢🫣🤤 http://t.cn/A6l3hj8x ​​​,404,1917,120,Josyukkk, 中国澳门,2441
4660,2024-01-01,"#王源[超话]##王源江苏卫视跨年晚会收视登顶# 
王源 江苏卫视跨年演唱会
《夜空中最亮的星》 直拍片段
@TFBOYS-王源 http://t.cn/A6lmWLsq ​​​",467,1762,190,CandyRoy糖果源, 中国澳门,2419
92008,2024-01-01,"#王俊凯[超话]##王俊凯心引力大合唱# 💙#王俊凯心引力舞台好甜# 
20231231 江苏卫视2024跨年 《心引力》 直拍P3 http://t.cn/A6luHRQp ​​​",635,1601,164,Nirvana-Karry_涅槃站, 中国澳门,2400
22741,2024-01-01,"#李宇春第19年跨年零点秀##李宇春压轴# #江苏卫视跨年# 
了无睡意！！！！！！！！！[爱慕]

#李宇春[超话]# http://t.cn/A6lmRqMz ​​​",712,1459,198,我就是夏末, 中国澳门,2369
9736,2024-01-01,"#李宇春[超话]##李宇春第19年跨年零点秀##李宇春未来女战士造型# #李宇春压轴# 
2023-2024 我和你跨过分秒

愿也可以跨过余生岁月。 http://t.cn/A6lmYMwZ ​",543,1556,117,岚子葱, 中国澳门,2216
9988,2024-01-01,"回酒店后开始观看湖南卫视跨年演唱会，明晚告诉大家鉴定结果。

我想，收费晚会也是没有任何理由假唱的吧，不知道湖南卫视顶不顶得住呀。加油，虽然现在再说加油其实也晚了。 ​​​",11,1886,274,声理学, 中国澳门,2171
84472,2024-01-01,#凯源[超话]#短短三十秒撩了四次衣服露了一次腰，老爹知不知道你是如此烧包。。 http://t.cn/A6lu5mtc ​​​,166,1882,62,远屿邻, 中国澳门,2110
41485,2024-01-01,"这一部分，是我最感动的！
大合唱的的感觉，真的很好，
旁边的路人小姐姐，说我05年最喜欢她！
跟着很大声的在呐喊李宇春，一起跟唱。

#李宇春零点大合唱好感人##李宇春第19年跨年零点秀##江苏卫视跨年# http://t.cn/A6lmBq4F ​",158,1828,47,CC小深, 中国澳门,2033
98354,2024-01-01,//@Fidelity_撓撓柚子://@小猪叽莓:#卢昱晓小巷人家# 期待和李佳的见面~//@卢昱晓_:#小巷人家新年特辑# 李佳在这里，祝大家元旦快乐呀！#电视剧小巷人家#,2010,0,0,Reiily_小舟, 中国澳门,2010
23278,2024-01-01,"2024江苏卫视跨年！
李宇春银河金属复古妆！
核心主题，金属质地、镜面感、科技感，夸张的眼部线条与银色金属渐变相融，唇部搭配橘金色金属质地口红！
是对未来的期待，也是对过去致敬！
#美妆v赏##妆容##李宇春江苏卫视跨年# ​​​",141,1707,125,琪琪liu776, 中国澳门,1973
4577,2024-01-01,#薛之谦[超话]##薛之谦江苏卫视跨年演唱会##江苏卫视跨年# @薛之谦 老师，最后这首燃爆现场，我还以为我穿回演唱会了，你真的太棒了！[鲜花][鲜花][鲜花][太开心][太开心][太开心][心][心][心] http://t.cn/A6lmjoxV ​​​,197,1670,104,神仙姐姐飛儿, 中国澳门,1971
6245,2024-01-30,【】人不能。。。起码不能。。。。 ​​​,76,1667,198,青菜炒泥蛋, 中国澳门,1941
88768,2024-01-01,2024一睜眼就收到萌萌咻狗的新年祝福 今年一定會很好ㅎㅎㅎ新年快樂!!! http://t.cn/A6luCzMn ​​​,238,1604,97,Josyukkk, 中国澳门,1939
